phase,metric,source,target,mean_p_value,mean_score,significant_frequency,mean_correlation,source_mean_percentage_change,target_mean_percentage_change,risk_index
1-Baseline,cpu_usage,tenant-cpu,tenant-dsk,0.0120769970337911,0.1859502533516921,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-cpu,tenant-mem,0.0178545668727467,0.297457321789833,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-cpu,tenant-ntk,0.0020727695285481,0.1838423542194792,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-dsk,tenant-cpu,0.0172009726747534,0.2361442649617197,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-dsk,tenant-mem,0.0949605189525653,0.2431945520866679,0,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-dsk,tenant-ntk,0.0333606476991413,0.1454083014602021,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-mem,tenant-cpu,0.0727386345913157,0.2898733053551218,0,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-mem,tenant-dsk,0.0031608275543753,0.1777717631694576,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-mem,tenant-ntk,0.0317036288811613,0.1915848997466432,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-ntk,tenant-cpu,0.0016490788055091,0.2493446826529962,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-ntk,tenant-dsk,6.506855040511558e-05,0.1415921394611617,1,0.0,0.0,0.0,0.0
1-Baseline,cpu_usage,tenant-ntk,tenant-mem,9.71640136459276e-06,0.2522628525905787,1,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-cpu,tenant-dsk,0.3475876909010792,0.0165830303220562,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-cpu,tenant-mem,0.1957811285757252,0.1975741359243785,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-cpu,tenant-ntk,0.2029177709389979,0.2188144435168361,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-dsk,tenant-cpu,0.2484137019400602,0.0433889145369206,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-dsk,tenant-mem,0.4136153212624586,0.0405131368834545,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-dsk,tenant-ntk,0.2170167291694888,0.052843457762504,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-mem,tenant-cpu,0.1097334900960665,0.1815563601626177,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-mem,tenant-dsk,0.2802596556093367,0.0134268970031534,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-mem,tenant-ntk,0.1044751555897081,0.2155508367184321,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-ntk,tenant-cpu,0.0297893972990848,0.1805205501652272,1,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-ntk,tenant-dsk,0.2612936987828771,0.0131655812942781,0,0.0,0.0,0.0,0.0
1-Baseline,disk_io_total,tenant-ntk,tenant-mem,0.1090301586850506,0.2056113107046167,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-cpu,tenant-dsk,0.4852841611038138,0.1357059130259824,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-cpu,tenant-mem,0.6393329999962987,0.2387249975078144,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-cpu,tenant-ntk,0.6141335119228686,0.1829763419686087,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-dsk,tenant-cpu,0.6162009824013472,0.1705303301552843,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-dsk,tenant-mem,0.5249818209871892,0.1953328256754443,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-dsk,tenant-ntk,0.4938238787548741,0.1452542003546789,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-mem,tenant-cpu,0.5969517705070173,0.2390420300279983,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-mem,tenant-dsk,0.5209001597139,0.137871715686783,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-mem,tenant-ntk,0.6064801804323194,0.1732015383517098,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-ntk,tenant-cpu,0.781307042551413,0.2036278565156077,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-ntk,tenant-dsk,0.7082929972800069,0.1187683876052378,0,0.0,0.0,0.0,0.0
1-Baseline,memory_usage,tenant-ntk,tenant-mem,0.4926451164671664,0.2117328673962027,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-cpu,tenant-dsk,0.2802238099344705,0.0130310919093279,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-cpu,tenant-mem,0.2551947315208277,0.1461119850685096,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-cpu,tenant-ntk,0.2496797977409101,0.1881843011269955,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-dsk,tenant-cpu,0.0733178151609872,0.0330149209232692,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-dsk,tenant-mem,0.0760260619246934,0.0348886599974827,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-dsk,tenant-ntk,0.2995058372174841,0.0377679190471137,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-mem,tenant-cpu,0.2122478517582521,0.1688424573699903,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-mem,tenant-dsk,0.3078336903789064,0.0167187602347058,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-mem,tenant-ntk,0.1934201796539094,0.1715391202911567,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-ntk,tenant-cpu,0.0725186771841455,0.1735757075025387,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-ntk,tenant-dsk,0.3794500859368588,0.0179412977124655,0,0.0,0.0,0.0,0.0
1-Baseline,network_throughput,tenant-ntk,tenant-mem,0.1679066012272248,0.1725913933643399,0,0.0,0.0,0.0,0.0
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-dsk,0.0209476592059946,0.2657258000020654,1,0.0,-32.622660373079505,-5.156562207189536,5.156562207189536
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-mem,0.027200047159474,0.1158271615412706,1,0.0,-32.622660373079505,-32.44421819649061,32.44421819649061
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-nsy,0.0057855948013554,0.0796009937958309,1,0.0,-32.622660373079505,0.0,0.0
2-CPU-Noise,cpu_usage,tenant-cpu,tenant-ntk,0.0282100567590986,0.2513490582570335,1,0.0,-32.622660373079505,-1.3776990141414005,1.3776990141414005
2-CPU-Noise,cpu_usage,tenant-dsk,tenant-cpu,0.0040656387563945,0.1653434610602252,1,0.0,-5.156562207189536,-32.622660373079505,32.622660373079505
2-CPU-Noise,cpu_usage,tenant-dsk,tenant-mem,0.0314450052320062,0.1611822930003986,1,0.0,-5.156562207189536,-32.44421819649061,32.44421819649061
2-CPU-Noise,cpu_usage,tenant-dsk,tenant-nsy,0.009201982694981,0.104682610892082,1,0.0,-5.156562207189536,0.0,0.0
2-CPU-Noise,cpu_usage,tenant-dsk,tenant-ntk,0.2088394591640355,0.3079169814097028,1,0.0,-5.156562207189536,-1.3776990141414005,1.3776990141414005
2-CPU-Noise,cpu_usage,tenant-mem,tenant-cpu,0.0008260962333119,0.1222446531641996,1,0.0,-32.44421819649061,-32.622660373079505,32.622660373079505
2-CPU-Noise,cpu_usage,tenant-mem,tenant-dsk,0.0020890235271726,0.2526662889144797,1,0.0,-32.44421819649061,-5.156562207189536,5.156562207189536
2-CPU-Noise,cpu_usage,tenant-mem,tenant-nsy,0.0017264433497622,0.0741811295727324,1,0.0,-32.44421819649061,0.0,0.0
2-CPU-Noise,cpu_usage,tenant-mem,tenant-ntk,0.019414403492056,0.2676443396493327,1,0.0,-32.44421819649061,-1.3776990141414005,1.3776990141414005
2-CPU-Noise,cpu_usage,tenant-nsy,tenant-cpu,0.0001259854267842,0.1035291388147152,1,0.0,0.0,-32.622660373079505,32.622660373079505
2-CPU-Noise,cpu_usage,tenant-nsy,tenant-dsk,0.0012019591850935,0.2088541216829517,1,0.0,0.0,-5.156562207189536,5.156562207189536
2-CPU-Noise,cpu_usage,tenant-nsy,tenant-mem,8.684008623443707e-05,0.10657848221828,1,0.0,0.0,-32.44421819649061,32.44421819649061
2-CPU-Noise,cpu_usage,tenant-nsy,tenant-ntk,0.0006142463347477,0.2204112724359602,1,0.0,0.0,-1.3776990141414005,1.3776990141414005
2-CPU-Noise,cpu_usage,tenant-ntk,tenant-cpu,2.03457118876524e-05,0.1980787424948848,1,0.0,-1.3776990141414005,-32.622660373079505,32.622660373079505
2-CPU-Noise,cpu_usage,tenant-ntk,tenant-dsk,0.0105442740407353,0.3318212753049875,2,0.0,-1.3776990141414005,-5.156562207189536,10.313124414379072
2-CPU-Noise,cpu_usage,tenant-ntk,tenant-mem,0.0001709895655777,0.1709657482916062,1,0.0,-1.3776990141414005,-32.44421819649061,32.44421819649061
2-CPU-Noise,cpu_usage,tenant-ntk,tenant-nsy,0.0005144844553347,0.1297199968702731,1,0.0,-1.3776990141414005,0.0,0.0
2-CPU-Noise,disk_io_total,tenant-cpu,tenant-dsk,0.2363965346355636,0.2548904382031178,0,0.0,-2.111536210336856,-37.02543335127429,0.0
2-CPU-Noise,disk_io_total,tenant-cpu,tenant-mem,0.1003220688746026,0.2555149949946982,0,0.0,-2.111536210336856,-1.9435753852906896,0.0
2-CPU-Noise,disk_io_total,tenant-cpu,tenant-nsy,0.0719349968449137,0.2004436735759892,0,0.0,-2.111536210336856,0.0,0.0
2-CPU-Noise,disk_io_total,tenant-cpu,tenant-ntk,0.0877131332928211,0.2828569924692619,0,0.0,-2.111536210336856,6.555873056110892,0.0
2-CPU-Noise,disk_io_total,tenant-dsk,tenant-cpu,0.0801695496243883,0.2925991415383683,0,0.0,-37.02543335127429,-2.111536210336856,0.0
2-CPU-Noise,disk_io_total,tenant-dsk,tenant-mem,0.1125205111976939,0.2640994323199294,0,0.0,-37.02543335127429,-1.9435753852906896,0.0
2-CPU-Noise,disk_io_total,tenant-dsk,tenant-nsy,0.0335928091050325,0.1656479501495081,1,0.0,-37.02543335127429,0.0,0.0
2-CPU-Noise,disk_io_total,tenant-dsk,tenant-ntk,0.139261841404914,0.2582286545961449,0,0.0,-37.02543335127429,6.555873056110892,0.0
2-CPU-Noise,disk_io_total,tenant-mem,tenant-cpu,0.073169196072695,0.2658363556288162,0,0.0,-1.9435753852906896,-2.111536210336856,0.0
2-CPU-Noise,disk_io_total,tenant-mem,tenant-dsk,0.0655294098978388,0.2572842325419529,0,0.0,-1.9435753852906896,-37.02543335127429,0.0
2-CPU-Noise,disk_io_total,tenant-mem,tenant-nsy,0.0754652660309664,0.1716766431403711,0,0.0,-1.9435753852906896,0.0,0.0
2-CPU-Noise,disk_io_total,tenant-mem,tenant-ntk,0.036630790302568,0.2641024948946034,1,0.0,-1.9435753852906896,6.555873056110892,6.555873056110892
2-CPU-Noise,disk_io_total,tenant-nsy,tenant-cpu,0.0331184624234642,0.2469711464857721,1,0.0,0.0,-2.111536210336856,2.111536210336856
2-CPU-Noise,disk_io_total,tenant-nsy,tenant-dsk,0.0368129598557074,0.2108501053389823,1,0.0,0.0,-37.02543335127429,37.02543335127429
2-CPU-Noise,disk_io_total,tenant-nsy,tenant-mem,0.0536722470824804,0.217361915886028,0,0.0,0.0,-1.9435753852906896,0.0
2-CPU-Noise,disk_io_total,tenant-nsy,tenant-ntk,0.0750410023536907,0.2118173079463823,0,0.0,0.0,6.555873056110892,0.0
2-CPU-Noise,disk_io_total,tenant-ntk,tenant-cpu,0.0651014895838287,0.2887600479799214,0,0.0,6.555873056110892,-2.111536210336856,0.0
2-CPU-Noise,disk_io_total,tenant-ntk,tenant-dsk,0.2043911658553522,0.2425234737000486,0,0.0,6.555873056110892,-37.02543335127429,0.0
2-CPU-Noise,disk_io_total,tenant-ntk,tenant-mem,0.1951424794777732,0.2514762097284988,0,0.0,6.555873056110892,-1.9435753852906896,0.0
2-CPU-Noise,disk_io_total,tenant-ntk,tenant-nsy,0.0901255768061553,0.1704352745429875,0,0.0,6.555873056110892,0.0,0.0
2-CPU-Noise,memory_usage,tenant-cpu,tenant-dsk,0.584899334352443,0.2372287240932614,0,0.0,2.760722525433493,1.858851448109765,0.0
2-CPU-Noise,memory_usage,tenant-cpu,tenant-mem,0.5904492015734498,0.2277627742567506,0,0.0,2.760722525433493,2.139080666840359,0.0
2-CPU-Noise,memory_usage,tenant-cpu,tenant-nsy,0.441115929905727,0.2406866150379884,0,0.0,2.760722525433493,0.0,0.0
2-CPU-Noise,memory_usage,tenant-cpu,tenant-ntk,0.4167773938336956,0.2119990887024601,0,0.0,2.760722525433493,1.4229399203610689,0.0
2-CPU-Noise,memory_usage,tenant-dsk,tenant-cpu,0.6337699226804245,0.2342289804109511,0,0.0,1.858851448109765,2.760722525433493,0.0
2-CPU-Noise,memory_usage,tenant-dsk,tenant-mem,0.6845354626747134,0.2396364664641374,0,0.0,1.858851448109765,2.139080666840359,0.0
2-CPU-Noise,memory_usage,tenant-dsk,tenant-nsy,0.648442872071296,0.2395855968627585,0,0.0,1.858851448109765,0.0,0.0
2-CPU-Noise,memory_usage,tenant-dsk,tenant-ntk,0.4297105784542451,0.2325447211820658,0,0.0,1.858851448109765,1.4229399203610689,0.0
2-CPU-Noise,memory_usage,tenant-mem,tenant-cpu,0.7223425416133866,0.2284727024799654,0,0.0,2.139080666840359,2.760722525433493,0.0
2-CPU-Noise,memory_usage,tenant-mem,tenant-dsk,0.5752467963400083,0.2398952729401241,0,0.0,2.139080666840359,1.858851448109765,0.0
2-CPU-Noise,memory_usage,tenant-mem,tenant-nsy,0.6424334885761868,0.2419428607915363,0,0.0,2.139080666840359,0.0,0.0
2-CPU-Noise,memory_usage,tenant-mem,tenant-ntk,0.610311813068645,0.2142132572895324,0,0.0,2.139080666840359,1.4229399203610689,0.0
2-CPU-Noise,memory_usage,tenant-nsy,tenant-cpu,0.5223428994718803,0.2369167447815577,0,0.0,0.0,2.760722525433493,0.0
2-CPU-Noise,memory_usage,tenant-nsy,tenant-dsk,0.6301748308102485,0.2556794807225511,0,0.0,0.0,1.858851448109765,0.0
2-CPU-Noise,memory_usage,tenant-nsy,tenant-mem,0.6248607918596459,0.2511329973988358,0,0.0,0.0,2.139080666840359,0.0
2-CPU-Noise,memory_usage,tenant-nsy,tenant-ntk,0.5266567824470284,0.2242485088206458,0,0.0,0.0,1.4229399203610689,0.0
2-CPU-Noise,memory_usage,tenant-ntk,tenant-cpu,0.3941380626532481,0.2160844991596449,0,0.0,1.4229399203610689,2.760722525433493,0.0
2-CPU-Noise,memory_usage,tenant-ntk,tenant-dsk,0.4416188789159387,0.2327422931089851,0,0.0,1.4229399203610689,1.858851448109765,0.0
2-CPU-Noise,memory_usage,tenant-ntk,tenant-mem,0.5818947176429685,0.2150799458770712,0,0.0,1.4229399203610689,2.139080666840359,0.0
2-CPU-Noise,memory_usage,tenant-ntk,tenant-nsy,0.5454478288911847,0.2329581041866413,0,0.0,1.4229399203610689,0.0,0.0
2-CPU-Noise,network_throughput,tenant-cpu,tenant-dsk,0.185269184768463,0.2661234056499022,0,0.0,-3.970617489263808,-15.67399342826298,0.0
2-CPU-Noise,network_throughput,tenant-cpu,tenant-mem,0.2652984130832067,0.3255610782834114,1,0.0,-3.970617489263808,-4.4509811556294165,4.4509811556294165
2-CPU-Noise,network_throughput,tenant-cpu,tenant-nsy,0.169623317336256,0.1920854787945107,0,0.0,-3.970617489263808,0.0,0.0
2-CPU-Noise,network_throughput,tenant-cpu,tenant-ntk,0.131635090660195,0.2230775309587514,0,0.0,-3.970617489263808,5.506030647232434,0.0
2-CPU-Noise,network_throughput,tenant-dsk,tenant-cpu,0.06172279224081,0.2879459992980142,0,0.0,-15.67399342826298,-3.970617489263808,0.0
2-CPU-Noise,network_throughput,tenant-dsk,tenant-mem,0.1168281790883926,0.2896780334941139,0,0.0,-15.67399342826298,-4.4509811556294165,0.0
2-CPU-Noise,network_throughput,tenant-dsk,tenant-nsy,0.094862848091177,0.1629785182274217,0,0.0,-15.67399342826298,0.0,0.0
2-CPU-Noise,network_throughput,tenant-dsk,tenant-ntk,0.0868927575337824,0.2009481359254934,0,0.0,-15.67399342826298,5.506030647232434,0.0
2-CPU-Noise,network_throughput,tenant-mem,tenant-cpu,0.1594811242734894,0.3055229684071632,1,0.0,-4.4509811556294165,-3.970617489263808,3.970617489263808
2-CPU-Noise,network_throughput,tenant-mem,tenant-dsk,0.0961187906093112,0.2639999581458127,0,0.0,-4.4509811556294165,-15.67399342826298,0.0
2-CPU-Noise,network_throughput,tenant-mem,tenant-nsy,0.300133415921623,0.2096758971446457,0,0.0,-4.4509811556294165,0.0,0.0
2-CPU-Noise,network_throughput,tenant-mem,tenant-ntk,0.0568678646725597,0.2149184085984777,0,0.0,-4.4509811556294165,5.506030647232434,0.0
2-CPU-Noise,network_throughput,tenant-nsy,tenant-cpu,0.2674073569432794,0.2368694956537283,0,0.0,0.0,-3.970617489263808,0.0
2-CPU-Noise,network_throughput,tenant-nsy,tenant-dsk,0.1004498295365872,0.2148627206438637,0,0.0,0.0,-15.67399342826298,0.0
2-CPU-Noise,network_throughput,tenant-nsy,tenant-mem,0.2822100185654916,0.2529015522098702,0,0.0,0.0,-4.4509811556294165,0.0
2-CPU-Noise,network_throughput,tenant-nsy,tenant-ntk,0.1227503158664224,0.1683594994428039,0,0.0,0.0,5.506030647232434,0.0
2-CPU-Noise,network_throughput,tenant-ntk,tenant-cpu,0.0702881184630071,0.2527907868180654,0,0.0,5.506030647232434,-3.970617489263808,0.0
2-CPU-Noise,network_throughput,tenant-ntk,tenant-dsk,0.1214651135236725,0.2340849609973731,0,0.0,5.506030647232434,-15.67399342826298,0.0
2-CPU-Noise,network_throughput,tenant-ntk,tenant-mem,0.3152692237501147,0.2695333358242585,0,0.0,5.506030647232434,-4.4509811556294165,0.0
2-CPU-Noise,network_throughput,tenant-ntk,tenant-nsy,0.2130888491478394,0.1611457231615747,0,0.0,5.506030647232434,0.0,0.0
3-Memory-Noise,cpu_usage,tenant-cpu,tenant-dsk,0.0067422845259739,0.3154908317065145,2,0.0,-23.219056114737704,-2.835059260433725,5.67011852086745
3-Memory-Noise,cpu_usage,tenant-cpu,tenant-mem,0.0228905139367076,0.2243867842939761,1,0.0,-23.219056114737704,-23.241127737200085,23.241127737200085
3-Memory-Noise,cpu_usage,tenant-cpu,tenant-nsy,0.0033066788093595,0.1057517553535215,1,0.0,-23.219056114737704,0.0,0.0
3-Memory-Noise,cpu_usage,tenant-cpu,tenant-ntk,0.0145477664201911,0.3048301626766427,2,0.0,-23.219056114737704,-0.62154686756408,1.24309373512816
3-Memory-Noise,cpu_usage,tenant-dsk,tenant-cpu,0.0284254997279654,0.2552639712438724,1,0.0,-2.835059260433725,-23.219056114737704,23.219056114737704
3-Memory-Noise,cpu_usage,tenant-dsk,tenant-mem,0.0718725233652566,0.262586553255314,0,0.0,-2.835059260433725,-23.241127737200085,0.0
3-Memory-Noise,cpu_usage,tenant-dsk,tenant-nsy,0.0109286491677655,0.1016230822323191,1,0.0,-2.835059260433725,0.0,0.0
3-Memory-Noise,cpu_usage,tenant-dsk,tenant-ntk,0.1809234436043966,0.3549658974066855,1,0.0,-2.835059260433725,-0.62154686756408,0.62154686756408
3-Memory-Noise,cpu_usage,tenant-mem,tenant-cpu,0.0462076175687273,0.2110240315850554,1,0.0,-23.241127737200085,-23.219056114737704,23.219056114737704
3-Memory-Noise,cpu_usage,tenant-mem,tenant-dsk,0.0013130139346738,0.3051533068079311,2,0.0,-23.241127737200085,-2.835059260433725,5.67011852086745
3-Memory-Noise,cpu_usage,tenant-mem,tenant-nsy,0.0023832327827362,0.1019131449516382,1,0.0,-23.241127737200085,0.0,0.0
3-Memory-Noise,cpu_usage,tenant-mem,tenant-ntk,0.0031677313585576,0.3076571604436494,2,0.0,-23.241127737200085,-0.62154686756408,1.24309373512816
3-Memory-Noise,cpu_usage,tenant-nsy,tenant-cpu,0.0002728424552385,0.1661996587139497,1,0.0,0.0,-23.219056114737704,23.219056114737704
3-Memory-Noise,cpu_usage,tenant-nsy,tenant-dsk,0.0226082151996298,0.2047466210835279,1,0.0,0.0,-2.835059260433725,2.835059260433725
3-Memory-Noise,cpu_usage,tenant-nsy,tenant-mem,0.0092591356073719,0.1610869793599898,1,0.0,0.0,-23.241127737200085,23.241127737200085
3-Memory-Noise,cpu_usage,tenant-nsy,tenant-ntk,0.0108117714545734,0.2201501269591267,1,0.0,0.0,-0.62154686756408,0.62154686756408
3-Memory-Noise,cpu_usage,tenant-ntk,tenant-cpu,0.0028257782612338,0.2904923328376254,1,0.0,-0.62154686756408,-23.219056114737704,23.219056114737704
3-Memory-Noise,cpu_usage,tenant-ntk,tenant-dsk,0.0018662457636175,0.3525153931479776,2,0.0,-0.62154686756408,-2.835059260433725,5.67011852086745
3-Memory-Noise,cpu_usage,tenant-ntk,tenant-mem,0.0010206735281384,0.2750496918681012,1,0.0,-0.62154686756408,-23.241127737200085,23.241127737200085
3-Memory-Noise,cpu_usage,tenant-ntk,tenant-nsy,3.504024854556158e-05,0.1347500098831538,1,0.0,-0.62154686756408,0.0,0.0
3-Memory-Noise,disk_io_total,tenant-cpu,tenant-dsk,0.1050065710094546,0.2866054145338652,0,0.0,13.486598491563706,-36.30511068750993,0.0
3-Memory-Noise,disk_io_total,tenant-cpu,tenant-mem,0.1114139557002056,0.285078833241312,0,0.0,13.486598491563706,-1.4816854408841211,0.0
3-Memory-Noise,disk_io_total,tenant-cpu,tenant-nsy,0.1600640329947845,0.233617045512722,0,0.0,13.486598491563706,0.0,0.0
3-Memory-Noise,disk_io_total,tenant-cpu,tenant-ntk,0.1286353763393095,0.2594370154760427,0,0.0,13.486598491563706,5.88045696512174,0.0
3-Memory-Noise,disk_io_total,tenant-dsk,tenant-cpu,0.1235022513096097,0.3097815939642273,1,0.0,-36.30511068750993,13.486598491563706,13.486598491563706
3-Memory-Noise,disk_io_total,tenant-dsk,tenant-mem,0.0894078203780787,0.2995028160984701,0,0.0,-36.30511068750993,-1.4816854408841211,0.0
3-Memory-Noise,disk_io_total,tenant-dsk,tenant-nsy,0.0416869633828708,0.2375626948306052,1,0.0,-36.30511068750993,0.0,0.0
3-Memory-Noise,disk_io_total,tenant-dsk,tenant-ntk,0.0941048554568896,0.2657998232213127,0,0.0,-36.30511068750993,5.88045696512174,0.0
3-Memory-Noise,disk_io_total,tenant-mem,tenant-cpu,0.1808136482224606,0.2903226811333796,0,0.0,-1.4816854408841211,13.486598491563706,0.0
3-Memory-Noise,disk_io_total,tenant-mem,tenant-dsk,0.0328808399065236,0.2898086207361994,1,0.0,-1.4816854408841211,-36.30511068750993,36.30511068750993
3-Memory-Noise,disk_io_total,tenant-mem,tenant-nsy,0.0988184301204884,0.2350685704291432,0,0.0,-1.4816854408841211,0.0,0.0
3-Memory-Noise,disk_io_total,tenant-mem,tenant-ntk,0.0545401271838792,0.2533750933476022,0,0.0,-1.4816854408841211,5.88045696512174,0.0
3-Memory-Noise,disk_io_total,tenant-nsy,tenant-cpu,0.1436577091149679,0.2643144299096705,0,0.0,0.0,13.486598491563706,0.0
3-Memory-Noise,disk_io_total,tenant-nsy,tenant-dsk,0.1277522370343431,0.2546404311232478,0,0.0,0.0,-36.30511068750993,0.0
3-Memory-Noise,disk_io_total,tenant-nsy,tenant-mem,0.0386439680961527,0.2509312131079492,1,0.0,0.0,-1.4816854408841211,1.4816854408841211
3-Memory-Noise,disk_io_total,tenant-nsy,tenant-ntk,0.0915631812432068,0.2287809832091171,0,0.0,0.0,5.88045696512174,0.0
3-Memory-Noise,disk_io_total,tenant-ntk,tenant-cpu,0.1365833174819928,0.2833125905467672,0,0.0,5.88045696512174,13.486598491563706,0.0
3-Memory-Noise,disk_io_total,tenant-ntk,tenant-dsk,0.0419757304196855,0.2794922854359394,1,0.0,5.88045696512174,-36.30511068750993,36.30511068750993
3-Memory-Noise,disk_io_total,tenant-ntk,tenant-mem,0.0733409824093065,0.2677453180640746,0,0.0,5.88045696512174,-1.4816854408841211,0.0
3-Memory-Noise,disk_io_total,tenant-ntk,tenant-nsy,0.1680610649086809,0.2193979362734842,0,0.0,5.88045696512174,0.0,0.0
3-Memory-Noise,memory_usage,tenant-cpu,tenant-dsk,0.6185952886591709,0.2643810811711868,0,0.0,4.499214258633559,2.7114293484942307,0.0
3-Memory-Noise,memory_usage,tenant-cpu,tenant-mem,0.4117794054776705,0.2428862798514023,0,0.0,4.499214258633559,2.668053168917281,0.0
3-Memory-Noise,memory_usage,tenant-cpu,tenant-nsy,0.511123813458072,0.2663260152335497,0,0.0,4.499214258633559,0.0,0.0
3-Memory-Noise,memory_usage,tenant-cpu,tenant-ntk,0.5626116333030439,0.2328133327006404,0,0.0,4.499214258633559,2.2970379160275995,0.0
3-Memory-Noise,memory_usage,tenant-dsk,tenant-cpu,0.5865420707286902,0.2774518142050731,0,0.0,2.7114293484942307,4.499214258633559,0.0
3-Memory-Noise,memory_usage,tenant-dsk,tenant-mem,0.4959997152466348,0.251888699030965,0,0.0,2.7114293484942307,2.668053168917281,0.0
3-Memory-Noise,memory_usage,tenant-dsk,tenant-nsy,0.5100612928115946,0.2674857620960737,0,0.0,2.7114293484942307,0.0,0.0
3-Memory-Noise,memory_usage,tenant-dsk,tenant-ntk,0.49166688917232,0.2360370409535936,0,0.0,2.7114293484942307,2.2970379160275995,0.0
3-Memory-Noise,memory_usage,tenant-mem,tenant-cpu,0.4945621750972532,0.2646268575544964,0,0.0,2.668053168917281,4.499214258633559,0.0
3-Memory-Noise,memory_usage,tenant-mem,tenant-dsk,0.6394282028380651,0.2605546337608367,0,0.0,2.668053168917281,2.7114293484942307,0.0
3-Memory-Noise,memory_usage,tenant-mem,tenant-nsy,0.629425370063181,0.253226327743414,0,0.0,2.668053168917281,0.0,0.0
3-Memory-Noise,memory_usage,tenant-mem,tenant-ntk,0.3498060084747573,0.2239860291126096,0,0.0,2.668053168917281,2.2970379160275995,0.0
3-Memory-Noise,memory_usage,tenant-nsy,tenant-cpu,0.4363197650867074,0.2827521019257266,0,0.0,0.0,4.499214258633559,0.0
3-Memory-Noise,memory_usage,tenant-nsy,tenant-dsk,0.7650313440708252,0.2723571080363322,0,0.0,0.0,2.7114293484942307,0.0
3-Memory-Noise,memory_usage,tenant-nsy,tenant-mem,0.3987526153411659,0.249837214877926,0,0.0,0.0,2.668053168917281,0.0
3-Memory-Noise,memory_usage,tenant-nsy,tenant-ntk,0.5350188607808745,0.2422498281730051,0,0.0,0.0,2.2970379160275995,0.0
3-Memory-Noise,memory_usage,tenant-ntk,tenant-cpu,0.5082549041834612,0.2490037536711226,0,0.0,2.2970379160275995,4.499214258633559,0.0
