tenant_id,metric_name,experimental_phase,mean_percentage_change,std_percentage_change,count
tenant-cpu,cpu_usage,2-CPU-Noise,-32.622660373079505,0.8212568161771189,10
tenant-cpu,cpu_usage,3-Memory-Noise,-23.219056114737704,1.8193197337997096,10
tenant-cpu,cpu_usage,4-Network-Noise,-36.32341605938633,2.028583130512676,10
tenant-cpu,cpu_usage,5-Disk-Noise,-9.660446287264154,2.396424404577334,10
tenant-cpu,cpu_usage,6-Combined-Noise,-56.36660216298101,1.1200572036987797,10
tenant-cpu,cpu_usage,7-Recovery,-1.6728492084231612,1.9093883066255075,10
tenant-cpu,disk_io_total,2-CPU-Noise,-2.1115362103368556,2.0317784181153,10
tenant-cpu,disk_io_total,3-Memory-Noise,13.486598491563706,46.7247459222174,10
tenant-cpu,disk_io_total,4-Network-Noise,20.212462855016728,77.98294361738816,10
tenant-cpu,disk_io_total,5-Disk-Noise,14.082503620637265,44.313689955031656,10
tenant-cpu,disk_io_total,6-Combined-Noise,20.006553242500726,69.84249645628371,10
tenant-cpu,disk_io_total,7-Recovery,15.700705194989416,62.83258010953764,10
tenant-cpu,memory_usage,2-CPU-Noise,2.760722525433493,4.706911629953985,10
tenant-cpu,memory_usage,3-Memory-Noise,4.499214258633559,3.856625741460448,10
tenant-cpu,memory_usage,4-Network-Noise,4.474216583004042,2.5902001157799504,10
tenant-cpu,memory_usage,5-Disk-Noise,10.662416766509036,5.239547180267045,10
tenant-cpu,memory_usage,6-Combined-Noise,13.058429126286148,5.4461211617064835,10
tenant-cpu,memory_usage,7-Recovery,11.97841806507188,3.866706717074749,10
tenant-cpu,network_throughput,2-CPU-Noise,-3.9706174892638084,2.134620354864064,8
tenant-cpu,network_throughput,3-Memory-Noise,-3.0162442950914374,2.4261719516380245,8
tenant-cpu,network_throughput,4-Network-Noise,-7.458189117858897,3.3649221889186727,8
tenant-cpu,network_throughput,5-Disk-Noise,-7.324127573393378,4.533123096800735,8
tenant-cpu,network_throughput,6-Combined-Noise,-13.755483343066267,8.561149981559304,8
tenant-cpu,network_throughput,7-Recovery,-2.890177621769822,2.021816306577617,8
tenant-dsk,cpu_usage,2-CPU-Noise,-5.156562207189536,1.931293544740239,10
tenant-dsk,cpu_usage,3-Memory-Noise,-2.835059260433725,2.412316413766288,10
tenant-dsk,cpu_usage,4-Network-Noise,-6.038607808130766,3.893270125035682,10
tenant-dsk,cpu_usage,5-Disk-Noise,-7.80963138983199,6.248756459859769,10
tenant-dsk,cpu_usage,6-Combined-Noise,-11.697670078286091,7.482879739377665,10
tenant-dsk,cpu_usage,7-Recovery,-2.434634286345624,1.6031761080384472,10
tenant-dsk,disk_io_total,2-CPU-Noise,-37.02543335127429,5.42191906883439,10
tenant-dsk,disk_io_total,3-Memory-Noise,-36.30511068750993,5.590198591671016,10
tenant-dsk,disk_io_total,4-Network-Noise,-35.98501367677513,5.56116062503998,10
tenant-dsk,disk_io_total,5-Disk-Noise,-65.53502985706837,3.157738065209673,10
tenant-dsk,disk_io_total,6-Combined-Noise,-67.5786476865795,2.898569111198938,10
tenant-dsk,disk_io_total,7-Recovery,-37.67151115281267,5.059731054553983,10
tenant-dsk,memory_usage,2-CPU-Noise,1.8588514481097653,1.9211859752113476,10
tenant-dsk,memory_usage,3-Memory-Noise,2.7114293484942307,1.8526955243045835,10
tenant-dsk,memory_usage,4-Network-Noise,3.940711130789219,1.9731416244751083,10
tenant-dsk,memory_usage,5-Disk-Noise,6.282379810584805,2.0741418782194514,10
tenant-dsk,memory_usage,6-Combined-Noise,7.4803802334672636,2.348864584350411,10
tenant-dsk,memory_usage,7-Recovery,7.1138271186582855,3.064591967874961,10
tenant-dsk,network_throughput,2-CPU-Noise,-15.67399342826298,2.810494107387098,8
tenant-dsk,network_throughput,3-Memory-Noise,-14.509483143109335,3.6912758621920663,8
tenant-dsk,network_throughput,4-Network-Noise,-18.18625927455599,2.8435258439334725,8
tenant-dsk,network_throughput,5-Disk-Noise,-16.178337219744545,4.342034057108311,8
tenant-dsk,network_throughput,6-Combined-Noise,-20.497085419274864,5.414333679037321,8
tenant-dsk,network_throughput,7-Recovery,-14.082905500981576,2.779936191139956,8
tenant-mem,cpu_usage,2-CPU-Noise,-32.44421819649061,1.1873544489840566,10
tenant-mem,cpu_usage,3-Memory-Noise,-23.241127737200085,1.5068672636450302,10
tenant-mem,cpu_usage,4-Network-Noise,-36.307266498279546,1.5861449405829626,10
tenant-mem,cpu_usage,5-Disk-Noise,-9.064533699041268,2.1854740319645916,10
tenant-mem,cpu_usage,6-Combined-Noise,-56.4125536841378,0.9098895715232278,10
tenant-mem,cpu_usage,7-Recovery,-1.197472024431196,2.079688095749822,10
tenant-mem,disk_io_total,2-CPU-Noise,-1.9435753852906898,3.221782710736821,10
tenant-mem,disk_io_total,3-Memory-Noise,-1.4816854408841211,5.045146623165981,10
tenant-mem,disk_io_total,4-Network-Noise,-3.7452035664606482,4.635106724671305,10
tenant-mem,disk_io_total,5-Disk-Noise,3.732884645699786,25.698315074731536,10
tenant-mem,disk_io_total,6-Combined-Noise,3.921355919684791,37.583462527561515,10
tenant-mem,disk_io_total,7-Recovery,19.221102912718067,52.80354500437747,10
tenant-mem,memory_usage,2-CPU-Noise,2.139080666840359,3.280530129770099,10
tenant-mem,memory_usage,3-Memory-Noise,2.668053168917281,4.158602935314623,10
tenant-mem,memory_usage,4-Network-Noise,4.593790064120482,5.003203231424358,10
tenant-mem,memory_usage,5-Disk-Noise,10.77520068925754,7.711305041248065,10
tenant-mem,memory_usage,6-Combined-Noise,11.996469622358187,6.655817897237858,10
tenant-mem,memory_usage,7-Recovery,9.5959044896471,5.567717860200551,10
tenant-mem,network_throughput,2-CPU-Noise,-4.4509811556294165,2.00585692619854,8
tenant-mem,network_throughput,3-Memory-Noise,-3.017772339466837,2.9425225634298235,8
tenant-mem,network_throughput,4-Network-Noise,-8.020736508345855,4.048279028296423,8
tenant-mem,network_throughput,5-Disk-Noise,-7.614586527598538,5.3607805220693825,8
tenant-mem,network_throughput,6-Combined-Noise,-14.290473793660315,9.271433974975361,8
tenant-mem,network_throughput,7-Recovery,-3.4626652345105082,2.109948572216478,8
tenant-ntk,cpu_usage,2-CPU-Noise,-1.3776990141414003,1.2340398522996956,10
tenant-ntk,cpu_usage,3-Memory-Noise,-0.62154686756408,1.1012817109865856,10
tenant-ntk,cpu_usage,4-Network-Noise,-2.756918200622457,1.3074744291636422,10
tenant-ntk,cpu_usage,5-Disk-Noise,0.10458858446791615,2.5975676465000763,10
tenant-ntk,cpu_usage,6-Combined-Noise,-3.8298094236273483,2.5083205752117506,10
tenant-ntk,cpu_usage,7-Recovery,0.7816574068332606,1.14356078557532,10
tenant-ntk,disk_io_total,2-CPU-Noise,6.555873056110892,25.164862929543713,10
tenant-ntk,disk_io_total,3-Memory-Noise,5.88045696512174,18.039820931596402,10
tenant-ntk,disk_io_total,4-Network-Noise,5.455167863812384,31.380437518835606,10
tenant-ntk,disk_io_total,5-Disk-Noise,22.200095726275443,49.0183449830841,10
tenant-ntk,disk_io_total,6-Combined-Noise,18.736995079137166,59.99741403806875,10
tenant-ntk,disk_io_total,7-Recovery,26.975332260149013,71.74474364414252,10
tenant-ntk,memory_usage,2-CPU-Noise,1.4229399203610689,2.234628644687838,10
tenant-ntk,memory_usage,3-Memory-Noise,2.2970379160275995,3.058651347645992,10
tenant-ntk,memory_usage,4-Network-Noise,3.136267702605098,2.307957027481458,10
tenant-ntk,memory_usage,5-Disk-Noise,5.741725790804962,3.1466955725390386,10
tenant-ntk,memory_usage,6-Combined-Noise,6.752292993443457,2.203506509479198,10
tenant-ntk,memory_usage,7-Recovery,7.090499050088686,1.9645806098808178,10
tenant-ntk,network_throughput,2-CPU-Noise,5.506030647232434,5.945199342733435,8
tenant-ntk,network_throughput,3-Memory-Noise,3.452795192686472,3.0540040915562963,8
tenant-ntk,network_throughput,4-Network-Noise,1.0386842333358848,2.547606471800369,8
tenant-ntk,network_throughput,5-Disk-Noise,9.41963779390299,23.33109985586045,8
tenant-ntk,network_throughput,6-Combined-Noise,-6.6833522114022,15.760891751939505,8
tenant-ntk,network_throughput,7-Recovery,-1.1159660920352774,12.848048971830826,8
