tenant_id,metric_name,experimental_phase,mean_change,median_change,std_dev,min_change,max_change,rounds_count,significance_count,significance_freq
tenant-cpu,cpu_usage,2 - CPU Noise,-99.78220455248191,-99.78146313131728,0.005537830751550348,-99.78807574399096,-99.7770747821375,3,3,100.0
tenant-cpu,cpu_usage,3 - Memory Noise,-99.77745720123353,-99.77684758221986,0.0062739791913652854,-99.7840137375728,-99.77151028390796,3,3,100.0
tenant-cpu,cpu_usage,4 - Network Noise,-99.72603190146936,-99.72578913551222,0.0026079389298985273,-99.7287527351552,-99.72355383374062,3,3,100.0
tenant-cpu,cpu_usage,5 - Disk Noise,-99.72727556264591,-99.72633619167014,0.010479024675391316,-99.73819264708162,-99.71729784918598,3,3,100.0
tenant-cpu,cpu_usage,6 - Combined Noise,-99.75897252029516,-99.75789718140152,0.0033361813984602463,-99.7627137566636,-99.75630662282036,3,3,100.0
tenant-cpu,cpu_usage,7 - Recovery,-99.76819214899776,-99.76758833336412,0.0072160861306484044,-99.77569117110124,-99.7612969425279,3,3,100.0
tenant-cpu,disk_throughput_total,2 - CPU Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,3 - Memory Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,4 - Network Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,5 - Disk Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,6 - Combined Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,disk_throughput_total,7 - Recovery,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-cpu,memory_usage,2 - CPU Noise,-27.145171750619415,-28.07191794760478,2.529889874997987,-29.081006624437016,-24.282590679816455,3,3,100.0
tenant-cpu,memory_usage,3 - Memory Noise,-27.213398848270575,-27.64480592600632,2.2903592764290854,-29.25737704918032,-24.73801356962509,3,3,100.0
tenant-cpu,memory_usage,4 - Network Noise,-27.36259000108727,-28.08005889680351,2.2123968980182815,-29.127208755624057,-24.880502350834245,3,3,100.0
tenant-cpu,memory_usage,5 - Disk Noise,-27.451000246752955,-28.260449520197135,2.0946585436388134,-29.02015208026136,-25.07239913980037,3,3,100.0
tenant-cpu,memory_usage,6 - Combined Noise,-27.616402861712974,-28.366257003893697,2.1949770217573463,-29.338190649666057,-25.14476093157917,3,3,100.0
tenant-cpu,memory_usage,7 - Recovery,-27.26971842643921,-27.95238030633981,2.032826115311646,-28.873345476624163,-24.98342949635365,3,3,100.0
tenant-cpu,network_total_bandwidth,2 - CPU Noise,-1.746240804231222,-1.4784585067935698,1.1422195019725163,-2.9985615982879223,-0.7617023076121743,3,1,33.33333333333333
tenant-cpu,network_total_bandwidth,3 - Memory Noise,-1.9247744635022102,-1.8319248572167748,2.1682828838431742,-4.137990645002971,0.1955921117131162,3,1,33.33333333333333
tenant-cpu,network_total_bandwidth,4 - Network Noise,-0.3923430991021431,-0.7106286817648598,1.586640290349294,-1.7957137083089956,1.3293130927674262,3,0,0.0
tenant-cpu,network_total_bandwidth,5 - Disk Noise,-0.825396933669429,-0.3136082301991629,1.916986021150884,-2.9463354263133144,0.7837528555041899,3,1,33.33333333333333
tenant-cpu,network_total_bandwidth,6 - Combined Noise,-2.2398038254051857,-1.743351035968953,1.3843499368795973,-3.803923725933815,-1.1721367143127892,3,1,33.33333333333333
tenant-cpu,network_total_bandwidth,7 - Recovery,-1.6308738468252626,-0.3086211079043284,2.6111190712333503,-4.63863154117905,0.0546311086075911,3,1,33.33333333333333
tenant-dsk,cpu_usage,2 - CPU Noise,-0.33508243401004084,-0.92505083752173,1.1295121379501147,-1.0474465493322764,0.967250084823884,3,0,0.0
tenant-dsk,cpu_usage,3 - Memory Noise,-1.3191847114812876,-1.171541452254974,0.7509924252751486,-2.1330338566804685,-0.65297882550842,3,0,0.0
tenant-dsk,cpu_usage,4 - Network Noise,5.220730601996068,5.87468245073314,3.7375719274490278,1.1993394130010628,8.588169942254002,3,2,66.66666666666666
tenant-dsk,cpu_usage,5 - Disk Noise,11.270023902399629,11.01031716088676,3.2059749769363686,8.20180131110455,14.59795323520758,3,3,100.0
tenant-dsk,cpu_usage,6 - Combined Noise,7.841108859655679,7.510874230872852,1.7750562006382828,6.25436050200231,9.758091846091874,3,3,100.0
tenant-dsk,cpu_usage,7 - Recovery,3.4855297036730666,3.972875478197769,0.9718737698462665,2.366408818780427,4.117304814041005,3,2,66.66666666666666
tenant-dsk,disk_throughput_total,2 - CPU Noise,-49.53079087375274,-50.4232898799637,9.25216864963512,-58.30436831393775,-39.864714427356766,3,3,100.0
tenant-dsk,disk_throughput_total,3 - Memory Noise,-49.93948097991838,-52.63861994264448,10.092094543888177,-58.407566968559244,-38.7722560285514,3,3,100.0
tenant-dsk,disk_throughput_total,4 - Network Noise,-48.36294987744437,-49.891988655750666,10.450082377676614,-57.96427594397182,-37.23258503261063,3,3,100.0
tenant-dsk,disk_throughput_total,5 - Disk Noise,-47.69218474969987,-49.64892966797888,9.479989495916435,-56.04111430326896,-37.38651027785176,3,3,100.0
tenant-dsk,disk_throughput_total,6 - Combined Noise,-47.69959246070106,-50.19274215725788,9.146777812715179,-55.341307537829984,-37.564727687015306,3,3,100.0
tenant-dsk,disk_throughput_total,7 - Recovery,-49.64520352776585,-53.04510193058003,10.575436073056006,-58.10253576743345,-37.78797288528406,3,3,100.0
tenant-dsk,memory_usage,2 - CPU Noise,2.3354327056275097,2.6102360350489104,1.042651718088403,1.182902993409066,3.2131590884245527,3,3,100.0
tenant-dsk,memory_usage,3 - Memory Noise,2.5093129392632476,3.002448035096013,0.9326840031979255,1.4335814854966311,3.0919092971970983,3,3,100.0
tenant-dsk,memory_usage,4 - Network Noise,2.5533361299110138,2.932725243177463,0.8334121188038395,1.597727945431752,3.1295552011238263,3,3,100.0
tenant-dsk,memory_usage,5 - Disk Noise,2.8519422753500288,3.2998321200731677,1.0916808046691746,1.607549904793038,3.6484448011838815,3,3,100.0
tenant-dsk,memory_usage,6 - Combined Noise,2.63176556890468,3.0405749956192305,0.9161940269276612,1.5823356284388204,3.2723860826559883,3,3,100.0
tenant-dsk,memory_usage,7 - Recovery,2.9385566258073346,3.338810966255275,0.8631561376315255,1.947932229057293,3.5289266821094354,3,3,100.0
tenant-dsk,network_total_bandwidth,2 - CPU Noise,3.1658676524513614,3.478606951017586,1.4276658716926869,1.6077578562275727,4.411238150108925,3,1,33.33333333333333
tenant-dsk,network_total_bandwidth,3 - Memory Noise,2.4565270640288612,2.5019604809040072,0.8801719087807848,1.5545183435269816,3.313102367655595,3,0,0.0
tenant-dsk,network_total_bandwidth,4 - Network Noise,2.8447601805630227,3.1778504257049,0.9487723313398307,1.774358264490198,3.5820718514939696,3,0,0.0
tenant-dsk,network_total_bandwidth,5 - Disk Noise,3.589013901980002,4.083164565253086,0.9243308762561332,2.522640754960977,4.161236385725943,3,1,33.33333333333333
tenant-dsk,network_total_bandwidth,6 - Combined Noise,3.6053564037698766,4.291658494890809,1.302443343184495,2.103283125271462,4.421127591147359,3,2,66.66666666666666
tenant-dsk,network_total_bandwidth,7 - Recovery,3.3044995428944097,3.7230551947088513,1.139468201394485,2.0149457537538016,4.175497680220577,3,1,33.33333333333333
tenant-mem,cpu_usage,2 - CPU Noise,3.388924366530811,2.972208800574628,2.5957107166225506,1.0267811813693215,6.167783117648483,3,1,33.33333333333333
tenant-mem,cpu_usage,3 - Memory Noise,2.5764326072215815,0.2313088369030653,4.255255439865069,0.0096770767397756,7.488311908021903,3,1,33.33333333333333
tenant-mem,cpu_usage,4 - Network Noise,10.082208296850302,10.49399067796205,2.9651170176920902,6.932723149655419,12.819911062933434,3,3,100.0
tenant-mem,cpu_usage,5 - Disk Noise,12.550988730899107,11.050736043717595,2.7632357124445504,10.862385280420328,15.739844868559397,3,3,100.0
tenant-mem,cpu_usage,6 - Combined Noise,7.270692673318554,7.349327187413351,2.50195345382367,4.7303489180118925,9.73240191453042,3,3,100.0
tenant-mem,cpu_usage,7 - Recovery,4.747725114589092,5.084928429283081,0.5941187339346444,4.061728527394843,5.096518387089351,3,3,100.0
tenant-mem,disk_throughput_total,2 - CPU Noise,inf,inf,,inf,inf,3,1,33.33333333333333
tenant-mem,disk_throughput_total,3 - Memory Noise,inf,inf,,inf,inf,3,2,66.66666666666666
tenant-mem,disk_throughput_total,4 - Network Noise,inf,inf,,inf,inf,3,3,100.0
tenant-mem,disk_throughput_total,5 - Disk Noise,,,,,,3,0,0.0
tenant-mem,disk_throughput_total,6 - Combined Noise,,,,,,3,0,0.0
tenant-mem,disk_throughput_total,7 - Recovery,inf,inf,,inf,inf,3,3,100.0
tenant-mem,memory_usage,2 - CPU Noise,5.537411563386634,4.620466874420607,3.193438472713804,2.902753033328218,9.089014782411075,3,3,100.0
tenant-mem,memory_usage,3 - Memory Noise,5.291757833165174,5.029941509617908,0.7091916470642992,4.7506972815235775,6.094634708354036,3,3,100.0
tenant-mem,memory_usage,4 - Network Noise,6.11917808400931,5.991005425243898,0.66757920422204,5.524978137469082,6.841550689314952,3,3,100.0
tenant-mem,memory_usage,5 - Disk Noise,5.351116896097023,5.368239194652239,1.912396697169196,3.4302165385426027,7.254894955096229,3,3,100.0
tenant-mem,memory_usage,6 - Combined Noise,7.460115480713849,7.9867315888496355,1.9214849471192592,5.330230075450769,9.063384777841144,3,3,100.0
tenant-mem,memory_usage,7 - Recovery,6.660161938528859,6.938011114625223,0.6731397052710584,5.892574532016488,7.149900168944864,3,3,100.0
tenant-mem,network_total_bandwidth,2 - CPU Noise,5.959364226735533,6.588140075798382,1.4196853172746293,4.333874819170994,6.956077785237225,3,3,100.0
tenant-mem,network_total_bandwidth,3 - Memory Noise,5.568412710601321,5.504843384186649,1.583403228289572,4.017751485662012,7.182643261955303,3,3,100.0
tenant-mem,network_total_bandwidth,4 - Network Noise,6.708795889568332,7.698638203757674,1.8394372469352351,4.586395537462894,7.841353927484428,3,3,100.0
tenant-mem,network_total_bandwidth,5 - Disk Noise,6.845272819406358,6.963908703791274,1.8051090212838168,4.983772110699258,8.588137643728546,3,3,100.0
tenant-mem,network_total_bandwidth,6 - Combined Noise,6.738392206364689,6.517684319479926,1.796174486523862,5.062770559957251,8.634721739656888,3,3,100.0
tenant-mem,network_total_bandwidth,7 - Recovery,7.07107620534511,6.858707230334719,0.576752254739417,6.630618463245988,7.723902922454622,3,3,100.0
tenant-ntk,cpu_usage,2 - CPU Noise,-5.456777400775269,-6.146665513527991,2.519624134229379,-7.559596930144682,-2.664069758653133,3,3,100.0
tenant-ntk,cpu_usage,3 - Memory Noise,-9.94549632564353,-9.543883010525231,2.1040900179825948,-12.22144752337663,-8.071158443028727,3,3,100.0
tenant-ntk,cpu_usage,4 - Network Noise,-1.1010427042758615,-3.382603566061525,5.523296223038531,-5.118039041808317,5.197514495042258,3,3,100.0
tenant-ntk,cpu_usage,5 - Disk Noise,0.5063745871187795,-1.7416247778653613,6.3255610504847555,-4.3881468730522695,7.648895412273969,3,2,66.66666666666666
tenant-ntk,cpu_usage,6 - Combined Noise,-4.681603259710222,-3.2754016119195546,2.507649750123496,-7.576793261446535,-3.1926149057645765,3,2,66.66666666666666
tenant-ntk,cpu_usage,7 - Recovery,-2.3502901592573853,-2.4811291083708995,3.1285435003051583,-5.411361578713884,0.8416202093126272,3,1,33.33333333333333
tenant-ntk,disk_throughput_total,2 - CPU Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-ntk,disk_throughput_total,3 - Memory Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-ntk,disk_throughput_total,4 - Network Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-ntk,disk_throughput_total,5 - Disk Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-ntk,disk_throughput_total,6 - Combined Noise,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-ntk,disk_throughput_total,7 - Recovery,-100.0,-100.0,0.0,-100.0,-100.0,3,2,66.66666666666666
tenant-ntk,memory_usage,2 - CPU Noise,6.0892500324098675,6.008660706986946,3.0443572841037794,3.0859875174513167,9.17310187279134,3,3,100.0
tenant-ntk,memory_usage,3 - Memory Noise,8.808611246725093,9.891163830855644,2.161534528518415,6.319697553878675,10.21497235544096,3,3,100.0
tenant-ntk,memory_usage,4 - Network Noise,7.188591910611705,6.75658896179835,2.5161842637934715,4.916378495077338,9.892808274959425,3,3,100.0
tenant-ntk,memory_usage,5 - Disk Noise,7.9139496498153195,9.772841774077197,5.620734513060926,1.5992416145690411,12.36976556079972,3,2,66.66666666666666
tenant-ntk,memory_usage,6 - Combined Noise,9.325485837331263,10.372791651267496,3.96706266022155,4.939845223340296,12.663820637385994,3,3,100.0
tenant-ntk,memory_usage,7 - Recovery,11.915715086149872,9.678931798188112,3.94121721659532,9.601790669449771,16.46642279081173,3,3,100.0
tenant-ntk,network_total_bandwidth,2 - CPU Noise,4.333005691027295,4.366352121826489,0.2575266110470148,4.060430214867703,4.572234736387693,3,3,100.0
tenant-ntk,network_total_bandwidth,3 - Memory Noise,3.7322737283388343,4.1000897538851175,0.9952074446338766,2.605512924103424,4.491218507027962,3,2,66.66666666666666
tenant-ntk,network_total_bandwidth,4 - Network Noise,3.178689717511228,3.0828366596815022,0.31374123138988697,2.9240559982893584,3.5291764945628232,3,0,0.0
tenant-ntk,network_total_bandwidth,5 - Disk Noise,3.6530540383146684,3.6959492275581054,0.4164405291032047,3.216826120709103,4.046386766676797,3,2,66.66666666666666
tenant-ntk,network_total_bandwidth,6 - Combined Noise,3.7213850851468933,3.7819302876206335,0.7571822576259863,2.935747883133255,4.446477084686791,3,2,66.66666666666666
tenant-ntk,network_total_bandwidth,7 - Recovery,3.443497739826068,3.3998707480229,0.32103207381931387,3.1465101902300194,3.784112281225286,3,1,33.33333333333333
